Title,Authors,Date,Price
Poems,Clive Bell,1921,GBP 12.50
Poems,Frank Prewett,1921,GBP 12.50
Poems,GH Luce,1923,GBP 12.50
Poems,Barrington Gates,1925,GBP 12.50
Poems,George Rylands,1931,GBP 12.50
Poems,Maria Rainer Rilke,1934,GBP 12.50
Poems,Christopher Lee,1937,GBP 12.50
Poems,Kenneth Allott,1938,GBP 12.50
Selected Poems,Cecil Day Lewis,1940,GBP 12.50
Selected Poems,William Plomer,1940,GBP 12.50
Selected Poems,Herman Melville,1941,GBP 12.50
Selected Poems,Rainer Maria Rilke,1941,GBP 12.50
Selected Poems,Vita Sackville-West,1941,GBP 12.50
Poems,Terence Tiller,1941,GBP 12.50
The Common Reader,Virginia Woolf,1925,US $37.50
Roger Fry,Virginia Woolf,1940,"US $1,500.00"
The Common Reader,Virginia Woolf,1925,GBP 215.77
Solitude,Vita Sackville-West,1938,GBP 845.00
New Writing,John Lehmann,1938,US $14.18
New Writing,John Lehmann,1939,US $14.18
Daylight,John Lehmann,1941,US $14.18
Jacob’s Room,Virginia Woolf,1922,GBP 14.99
The Case is Altered,William Plomer,1932,GBP 20.00
Letters,Stephen Reynolds,1923,US $8.19
The Hogarth Letters,,1933,US $8.19
New Introductory Lectures on Psycho-Analysis,Sigmund Freud,1933,GBP 37.00
Poems,C.N. Sidney Woolf,1918,US $50.00
Poems,TS Eliot,1919,US $50.00
Poems,Clive Bell,1921,US $50.00
Poems,Frank Prewett,1921,US $50.00
Poems,GH Luce,1923,US $50.00
Poems,Barrington Gates,1925,US $50.00
Transition,Edwin Muir,1926,US $50.00
Poems,George Rylands,1931,US $50.00
Collected Poems,Vita Sackville-West,1933,US $50.00
Poems,Maria Rainer Rilke,1934,US $50.00
Collected Poems,Cecil Day Lewis,1935,US $50.00
Poems,Christopher Lee,1937,US $50.00
Poems,Kenneth Allott,1938,US $50.00
Poems,Terence Tiller,1941,US $50.00
The Years,Virginia Woolf,1938,US $18.36
Civilization and its Discontents,Sigmund Freud,1930,US $9.00
Flush,Virginia Woolf,1933,GBP 63.70
The Common Reader,Virginia Woolf,1925,US $65.00
Monday or Tuesday,Virginia Woolf,1921,"US $3,000.00"
Poems,C.N. Sidney Woolf,1918,US $192.50
Poems,TS Eliot,1919,US $192.50
Poems,Clive Bell,1921,US $192.50
Poems,Frank Prewett,1921,US $192.50
Poems,GH Luce,1923,US $192.50
Poems,Barrington Gates,1925,US $192.50
Poems,George Rylands,1931,US $192.50
Poems,Maria Rainer Rilke,1934,US $192.50
Poems,Christopher Lee,1937,US $192.50
Poems,Kenneth Allott,1938,US $192.50
Poems,Terence Tiller,1941,US $192.50
Civilization and its Discontents,Sigmund Freud,1930,US $25.00
Monday or Tuesday,Virginia Woolf,1921,"US $3,000.00"
"Inhibitions, Symptoms and Anxiety",Sigmund Freud,1936,US $27.95
Group Psychology and the Analysis of the Ego,Sigmund Freud,1922,US $32.00
Kew Gardens,Virginia Woolf,1919,US $25.00
Kew Gardens,Virginia Woolf,1927,US $25.00
Between the Acts,Virginia Woolf,1941,GBP 1.99
Letters,Stephen Reynolds,1923,US $39.90
The Hogarth Letters,,1933,US $39.90
The Dark,Leonid Andreev,1922,GBP 7.99
Poems,C.N. Sidney Woolf,1918,US $17.25
Poems,TS Eliot,1919,US $17.25
Poems,Clive Bell,1921,US $17.25
Poems,Frank Prewett,1921,US $17.25
Poems,GH Luce,1923,US $17.25
Poems,Barrington Gates,1925,US $17.25
Poems,George Rylands,1931,US $17.25
Poems,Maria Rainer Rilke,1934,US $17.25
Poems,Christopher Lee,1937,US $17.25
Poems,Kenneth Allott,1938,US $17.25
Poems,Terence Tiller,1941,US $17.25
Collected Papers,Sigmund Freud,1924,US $150.00
A Sampler of Castile,Roger Fry,1923,US $300.00
Roger Fry,Virginia Woolf,1940,US $300.00
The End of Laissez-Faire,John Maynard Keynes,1926,"US $4,000.00"
Sissinghurst,Vita Sackville-West,1931,US $292.59
Poems,C.N. Sidney Woolf,1918,US $30.00
Poems,TS Eliot,1919,US $30.00
Poems,Clive Bell,1921,US $30.00
Poems,Frank Prewett,1921,US $30.00
Poems,GH Luce,1923,US $30.00
Poems,Barrington Gates,1925,US $30.00
Transition,Edwin Muir,1926,US $30.00
From Feathers to Iron,Cecil Day Lewis,1931,US $30.00
Poems,George Rylands,1931,US $30.00
Collected Poems,Vita Sackville-West,1933,US $30.00
Poems,Maria Rainer Rilke,1934,US $30.00
Collected Poems,Cecil Day Lewis,1935,US $30.00
Poems,Christopher Lee,1937,US $30.00
Poems,Kenneth Allott,1938,US $30.00
Poems,Terence Tiller,1941,US $30.00
Letters,Stephen Reynolds,1923,US $9.16
The Hogarth Letters,,1933,US $9.16
The Years,Virginia Woolf,1938,US $148.69
The Years,Virginia Woolf,1938,US $74.75
Poems,C.N. Sidney Woolf,1918,US $30.00
Poems,TS Eliot,1919,US $30.00
Poems,Clive Bell,1921,US $30.00
Poems,Frank Prewett,1921,US $30.00
Poems,GH Luce,1923,US $30.00
Poems,Barrington Gates,1925,US $30.00
Transition,Edwin Muir,1926,US $30.00
From Feathers to Iron,Cecil Day Lewis,1931,US $30.00
Poems,George Rylands,1931,US $30.00
Collected Poems,Vita Sackville-West,1933,US $30.00
Poems,Maria Rainer Rilke,1934,US $30.00
Collected Poems,Cecil Day Lewis,1935,US $30.00
Poems,Christopher Lee,1937,US $30.00
Poems,Kenneth Allott,1938,US $30.00
Poems,Terence Tiller,1941,US $30.00
The Years,Virginia Woolf,1938,US $148.69
The Other Side of the Medal,Edward Thompson,1925,"US $2,089.26"
Poems,C.N. Sidney Woolf,1918,US $13.00
Poems,TS Eliot,1919,US $13.00
Poems,Clive Bell,1921,US $13.00
Poems,Frank Prewett,1921,US $13.00
Poems,GH Luce,1923,US $13.00
Poems,Barrington Gates,1925,US $13.00
Poems,George Rylands,1931,US $13.00
Collected Poems,Vita Sackville-West,1933,US $13.00
Poems,Maria Rainer Rilke,1934,US $13.00
Collected Poems,Cecil Day Lewis,1935,US $13.00
Poems,Christopher Lee,1937,US $13.00
Poems,Kenneth Allott,1938,US $13.00
Poems,Terence Tiller,1941,US $13.00
Monday or Tuesday,Virginia Woolf,1921,"US $2,000.00"
Goodbye to Berlin,Christopher Isherwood,1939,US $149.95
Collected Papers,Sigmund Freud,1924,US $22.00
The Voyage Out,Virginia Woolf,1929,US $513.61
The Years,Virginia Woolf,1938,US $45.00
The Waves,Virginia Woolf,1931,GBP 429.00
New Writing,John Lehmann,1938,US $93.00
New Writing,John Lehmann,1939,US $93.00
