Title,Author,Price
Pack My Bag,Henry Green,US$ 96.97
Selected Poems,William Plomer,US$ 38.50
Country Notes in Wartime,Vita Sackville-West,US$ 100.00
Roger Fry,Virginia Woolf,"US$ 1,422.29"
Selected Poems,Herman Melville,US$ 38.50
Selected Poems,Rainer Maria Rilke,US$ 38.50
Selected Poems,Vita Sackville-West,US$ 38.50
Poems,Terence Tiller,US$ 40.00
Aftermath,RC Trevelyan,US$ 45.00
Between the Acts,Virginia Woolf,US$ 450.00
